uniq_id;product_name;image;category_level_1;category_level_2;category_level_3;category_level_4;category_level_5;category_level_6;category_level_7;filtered_text;split
62cbea6012792cdbe5ff7cac2a6b76d0;Fogg Fashion Store 3003-PK Modish Analog Watch  - For Women;62cbea6012792cdbe5ff7cac2a6b76d0.jpg;Watches ; Wrist Watches ; Fogg Fashion Store Wrist Watches;Non spécifié;Non spécifié;Non spécifié;Non spécifié;fashion store analog watch woman fashion store analog watch woman online india great discount;train
d1899ab1d5c79ddaa311bc9f04d198ed;D-Link DAP1320;d1899ab1d5c79ddaa311bc9f04d198ed.jpg;Computers ; Network Components ; Routers ; D-Link Routers ; D-Link DAP1320 (White);Non spécifié;Non spécifié;link app android link white speed wireless speed 300 dsl modem speed 300 general brand link box extender plug model type range color white warranty covered warranty damage warranty summary service type damage covered warranty damaged repair dimension weight number number usb port supported standard operating condition operating operating non storage non temperature operating storage degree additional certification;train
c3e1435782c0929327449eec11475b96;Supreme Cookwares Kadhai 1.5 L;c3e1435782c0929327449eec11475b96.jpg;Kitchen & Dining ; Cookware ; Pots & Pans ; Woks & Kadhais ; Supreme Cookwares Woks & Kadhais;Non spécifié;Non spécifié;cookware kadhai rs.799 online cookware kadhai best;train
fffa2117a4006d4a848eb7d5b80d4816;De TechInn Flexible wire powered by 13 USB Led Light;fffa2117a4006d4a848eb7d5b80d4816.jpg;Computers ; Laptop Accessories ; USB Gadgets ; De TechInn USB Gadgets;Non spécifié;Non spécifié;Non spécifié;flexible wire powered usb led light online flexible wire powered usb led light best;train
8872dd7ca802f56c1c3ee07e22e84cfd;Buy Clues Abstract Single Quilts & Comforters Gold;8872dd7ca802f56c1c3ee07e22e84cfd.jpg;Home Furnishing ; Bed Linen ; Blankets, Quilts & Dohars;Non spécifié;Non spécifié;Non spécifié;Non spécifié;abstract single quilt comforter gold;train
20a06aad5f04727dd54bf13dd5923518;R&Mshoppee MDF Wall Shelf;20a06aad5f04727dd54bf13dd5923518.jpg;Home Decor & Festive Needs ; Wall Decor & Clocks ; Wall Shelves ; R&Mshoppee Wall Shelves ; R&Mshoppee MDF Wall Shelf (Number of Shelves - 1...;Non spécifié;Non spécifié;mdf wall shelf trendy stylish easy mdf wall shelf number shelf black shape wall shelf decoration wall use shelf shelf keep show piece mdf wall shelf number shelf black general brand suitable living room bedroom model number material mdf color black body design number shelf box sale package shelf additional included;train
281dfd9b94b34362c295b3e5f8da5dfa;Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR490EBW 75 Adapter;281dfd9b94b34362c295b3e5f8da5dfa.jpg;Computers ; Laptop Accessories ; Adapters ; Smartpro Adapters ; Smartpro 19.5v,3.9a Replacement Charger for Vaio...;Non spécifié;Non spécifié;smartpro 19.5v,3.9a charger vaio series vgn adapter power cord included general brand smartpro designed vaio vgn sale package laptop adapter designed sony vaio vgn connector pin type 6.5mm 4.4mm model 19.5v,3.9a charger vaio series vgn power power input 220 power consumption output current 3.9 output voltage 19.5 warranty covered warranty warranty limited manufacturing defect warranty summary month india warranty warranty service type repair carry warranty customer need carry send repair replaced sent back customer covered warranty warranty cover external accessory battery cable carrying bag damage caused due improper installation customer normal wear tear magnetic head audio video laser pick ups picture tube pane;train
112a8a56ee40ee31ea06fb7ff23b5c25;meSleep Animal Cushions Cover;112a8a56ee40ee31ea06fb7ff23b5c25.jpg;Home Furnishing ; Cushions, Pillows & Covers ; Cushion Covers;Non spécifié;Non spécifié;Non spécifié;Non spécifié;animal cushion cover 699;train
d06bb04b096c77dc3302eaf2db336f96;MH MDF Photo Frame;d06bb04b096c77dc3302eaf2db336f96.jpg;Baby Care ; Baby & Kids Gifts ; Photo Frames ; MH Photo Frames;Non spécifié;Non spécifié;Non spécifié;mdf photo frame rs.899 online mdf photo frame best;train
d6a50203fad654981605a70a7bde52b7;Welhouse Cotton Hand & Face Towel Set;d6a50203fad654981605a70a7bde52b7.jpg;Baby Care ; Baby Bath & Skin ; Baby Bath Towels ; Welhouse Baby Bath Towels;Non spécifié;Non spécifié;Non spécifié;cotton hand face towel set;train
7821fb1cbf8d3bb294c3c20527119f15;Surgical e Sstudio S0004 Gown, Pant Hospital Scrub;7821fb1cbf8d3bb294c3c20527119f15.jpg;Beauty and Personal Care ; Health Care ; Medical Equipment & Accessories ; Surgical e Sstudio Medical Equipment & Accessories ; Surgical e Sstudio S0004 Gown, Pant Hospital Scr...;Non spécifié;Non spécifié;surgical sstudio gown pant hospital washable high quality polyester fabric name available trouser elastic surgical sstudio gown pant hospital pink surgical sstudio iso certified company name made high quality washable polyester fabric shaped neck top trouser designed way give complete comfort feel available size available different colour hospital home best also name complete surgical sstudio gown pant hospital pink general brand surgical sstudio brand color pink model number type gown pant material high quality polyester size color pink box pant;train
04f9ff160a1561e3656350f4bd6b8c50;Craft Trade Oval Wood Coaster Set;04f9ff160a1561e3656350f4bd6b8c50.jpg;Home Furnishing ; Kitchen & Dining Linen ; Coasters ; Craft Trade Coasters ; Craft Trade Oval Wood Coaster Set (Brown, Pack o...;Non spécifié;Non spécifié;craft trade oval wood coaster set hand crafted antique coaster apple shaped coaster set craft trade oval wood coaster set brown pack 299 decorate amazing handcrafted apple shaped coaster set coaster set apple design surely make love hand crafted artist rajasthan made fine quality wood come apple shaped stand store table make look amazing long life protect table hand crafted craft trade artisan craft trade oval wood coaster set brown pack general shape oval brand craft trade reversible yes design code type coaster set material wood style code pattern self design yes wood color brown warranty covered warranty warranty case manufacturing defect dimension holder width weight 230 coaster width holder height coaster diameter holder diameter coaster length coaster additional box number content sale package pack sale package coaster holder coaster;train
baa093d149982b010ab72ecbeec6110f;Kosher Kadhai 1 L;baa093d149982b010ab72ecbeec6110f.jpg;Kitchen & Dining ; Cookware ; Pots & Pans ; Woks & Kadhais ; Kosher Woks & Kadhais;Non spécifié;Non spécifié;kadhai online kadhai best;train
3a7b224bf1bc9cee9052f9c9df0355f6;CB Fashion 108-121 Analog Watch  - For Women;3a7b224bf1bc9cee9052f9c9df0355f6.jpg;Watches ; Wrist Watches ; CB Fashion Wrist Watches;Non spécifié;Non spécifié;Non spécifié;Non spécifié;fashion 121 analog watch woman fashion 121 analog watch woman 121 online india great discount;train
841b14271aa4c29f291f600c9556145c;Home Originals Abstract, Geometric Double Blanket Multicolor;841b14271aa4c29f291f600c9556145c.jpg;Home Furnishing ; Bed Linen ; Blankets, Quilts & Dohars;Non spécifié;Non spécifié;Non spécifié;Non spécifié;home original abstract geometric double blanket multicolor 1299;train
a1fd886094826c3f25c6ffb380073974;Prithish Warm Up The Evil In Me Double Color Ceramic Mug;a1fd886094826c3f25c6ffb380073974.jpg;Kitchen & Dining ; Coffee Mugs ; Prithish Coffee Mugs;Non spécifié;Non spécifié;Non spécifié;Non spécifié;prithish warm double color ceramic mug rs.225 online prithish warm double color ceramic mug best;train
6bc04b3ec1f8d4da2a00f8662f4fbed3;Metallino Kadhai NA L;6bc04b3ec1f8d4da2a00f8662f4fbed3.jpg;Kitchen & Dining ; Cookware ; Pots & Pans ; Woks & Kadhais ; Metallino Woks & Kadhais;Non spécifié;Non spécifié;metallino kadhai online metallino kadhai best;train
7d99ac27ad194bc62000c46779c42732;Vgstore Rectangular Pack of 6 Table Placemat;7d99ac27ad194bc62000c46779c42732.jpg;Home Furnishing ; Kitchen & Dining Linen ; Table Placemats ; Vgstore Rectangular Pack of 6 Table Placemat (Da...;Non spécifié;Non spécifié;Non spécifié;rectangular pack table dark blue pvc general brand shape rectangular design code material pvc style code color dark blue box number content sale package pack;train
721c1b67f86176f741d43cae1d1c7e93;Cotonex Blue, White Cotton Kitchen Linen Set;721c1b67f86176f741d43cae1d1c7e93.jpg;Home Furnishing ; Kitchen & Dining Linen ; Kitchen Linen Sets ; Cotonex Blue, White Cotton Kitchen Linen Set (Pa...;Non spécifié;Non spécifié;Non spécifié;cotonex blue white cotton kitchen linen set pack 299 cotonex 100 pure cotton glove cotonex blue white cotton kitchen linen set pack general brand cotonex design code material cotton style code pattern checkered design check design color blue white dimension weight 150 additional fabric care machine washable dry clean bleach box number content sale package pack sale package glove;train
73503fe89ea77420a598f4a1019e5b6d;Prithish Pscychological Illusions Design 5 Ceramic Mug;73503fe89ea77420a598f4a1019e5b6d.jpg;Kitchen & Dining ; Coffee Mugs ; Prithish Coffee Mugs;Non spécifié;Non spécifié;Non spécifié;Non spécifié;prithish design ceramic mug 330 175 get talking coffee wide selection cute catchy design mean 're sure find quote say way mug bring smile n't forget share mug like make great gift mug beautifully designed quality ink attractive graphic perfect around enjoyment express distinctive coffee mug give freedom broadcast special message holiday cheer love cupcake affordable mug also perfect gifting show others well know break mug bring laugh happy sipping get talking coffee wide selection cute catchy design mean 're sure find quote say way mug bring smile n't forget share mug like make great gift mug beautifully designed quality ink attractive graphic perfect around enjoyment express distinctive coffee mug give freedom broadcast special message holiday cheer love cupcake affordable mug also perfect gifting show others well know break mug bring laugh happy sipping;train
3adb36e4275733d0d113d9039e6814ea;Vincent Valentine Paris Set of Dark Fire, Dark Fire & Majesty Deodorants Combo Set;3adb36e4275733d0d113d9039e6814ea.jpg;Beauty and Personal Care ; Fragrances ; Deodorants ; Combos ; Vincent Valentine Paris Combos;Non spécifié;Non spécifié;paris set dark fire dark fire majesty deodorant combo set set dark fire top note blend black distinctive depth green pepper extract warmth base rich bean royal majesty latest beautiful anna andre others woman neo touch dark fire top note blend black distinctive depth green pepper extract warmth base rich bean royal majesty latest beautiful anna andre others woman neo touch;train
503bb08f7bdf6a395ec564dd1dc83619;Nutcase Sticker Wrap Design - Lucky Elements 800 ml Bottle;503bb08f7bdf6a395ec564dd1dc83619.jpg;Kitchen & Dining ; Containers & Bottles ; Bottles & Sippers ; Water bottle ; Nutcase Water bottle;Non spécifié;Non spécifié;nutcase sticker wrap design lucky 800 bottle pack multicolor 399 nutcase brings designer water bottle nutcase bottle reflect style attitude aluminium water bottle come harness hook waterproof sticker wrap fresh quirky playful design nutcase brings designer water bottle nutcase bottle reflect style attitude aluminium water bottle come harness hook waterproof sticker wrap fresh quirky playful design;train
3f025b9dc8065fe5a155573e5b21a70d;Ornate 7 W LED Bulb;3f025b9dc8065fe5a155573e5b21a70d.jpg;Kitchen & Dining ; Lighting ; Bulbs ; Ornate Bulbs;Non spécifié;Non spécifié;Non spécifié;led bulb online led bulb best;train
19a570b6717955a8c48e5f280617ef24;Times 109B0109 Sports Analog Watch  - For Boys;19a570b6717955a8c48e5f280617ef24.jpg;Watches ; Wrist Watches ; Times Wrist Watches;Non spécifié;Non spécifié;Non spécifié;Non spécifié;time sport analog watch boy time sport analog watch boy online india great discount;train
607dc41467008ee7a8dba0276f180f63;Suruchi Kadhai 4.5 L;607dc41467008ee7a8dba0276f180f63.jpg;Kitchen & Dining ; Cookware ; Pots & Pans ; Woks & Kadhais ; Suruchi Woks & Kadhais;Non spécifié;Non spécifié;kadhai 4.5 online kadhai 4.5 best;train
079d049de21fb2426b516a8d2f9a8bdb;Envy 1000 Intense,Magnetic Combo Set;079d049de21fb2426b516a8d2f9a8bdb.jpg;Beauty and Personal Care ; Fragrances ; Deodorants ; Combos ; ENVY 1000 Combos;Non spécifié;Non spécifié;1000 intense magnetic combo set online 350;train
b0229d4466ac60c7ba53c7ce9fabad7c;Jaycoknit Mediterranean Sea's Lucky Wooden Handcrafted Ship Part II Showpiece  -  17 cm;b0229d4466ac60c7ba53c7ce9fabad7c.jpg;Home Decor & Festive Needs ; Religion & Devotion ; Jaycoknit Religion & Devotion ; Jaycoknit Mediterranean Sea's Lucky Wooden Handc...;Non spécifié;Non spécifié;Non spécifié;mediterranean sea lucky wooden handcrafted ship part showpiece wooden height width mediterranean sea lucky wooden handcrafted ship part showpiece wooden multicolor 399 fabulous lucky ship home fashion design perfect gift placed bedroom room etc hand made wood craftsman model kit come specification material hand category mediterranean production surface technology painted decoration pattern mediterranean hanging form decoration home production method manual mediterranean sea lucky wooden handcrafted ship part showpiece wooden multicolor general brand model number type antique model name mediterranean sea lucky wooden handcrafted ship part material wooden color multicolor dimension height width depth box sale package showpiece figurine pack;train
02a53d335775b652f22f41b529b9d646;Suave Naturals Everlasting Sunshine Conditioner;02a53d335775b652f22f41b529b9d646.jpg;Beauty and Personal Care ; Hair Care ; Conditioners ; Suave Conditioners ; Suave Naturals Everlasting Sunshine Conditioner ...;Non spécifié;Non spécifié;suave natural conditioner ideal boy girl applied hair condition damaged hair hair type dry hair suave natural conditioner conditioner trait hair condition damaged hair hair type dry hair applied ideal boy girl general trait brand suave quantity model name natural conditioner box conditioner;train
aebf3a2172b33ef09acb472009967812;Parv Collections Showpiece  -  12 cm;aebf3a2172b33ef09acb472009967812.jpg;Home Decor & Festive Needs ; Showpieces ; Parv Collections Showpieces;Non spécifié;Non spécifié;Non spécifié;Non spécifié;collection showpiece polyresin multicolor lovely sitting couple statue lovely sitting couple statue;train
539f82930cfad8afef1a75882eb45703;Nivea Fresh Power Boost Deo Combo Combo Set;539f82930cfad8afef1a75882eb45703.jpg;Beauty and Personal Care ; Fragrances ; Deodorants ; Combos ; Nivea Combos;Non spécifié;Non spécifié;fresh power combo combo set online;train
2651ce313a5a3aedb7c566394a3b3b26;Aster Luxury Arabic Oudh Bathing Bar - Pack of 4;2651ce313a5a3aedb7c566394a3b3b26.jpg;Beauty and Personal Care ; Bath and Spa ; Soaps ; Aster Luxury Soaps ; Aster Luxury Arabic Oudh Bathing Bar - Pack of 4...;Non spécifié;Non spécifié;aster luxury arabic oudh bathing bar pack aster luxury arabic oudh bathing bar pack 500 natural arabic oudh soap bathing bar pure oudh feel every bath calm body enhances oudh calm body deep property keep skin based soap skin make soft supple smooth arabic oudh soap anti property good dry skin skin health skin usage hold aster luxury handmade bathing bar wet body soap give good clean whole body apply body size 4.4 oil oil arabic oudh fragrance oil animal testing animal soap aster luxury arabic oudh bathing bar pack 500 soap essential brand aster luxury skin type skin type soap fragrance arabic oudh soap application area body face handmade yes soap type bathing soap general trait quantity 500 model name arabic oudh bathing bar pack ideal men woman number soap per pack box soap;train
fb733e04ff2d72c59d8513eb574e81a2;Metallino Hard Anodised WGlass Lid Kadhai 3.5 L;fb733e04ff2d72c59d8513eb574e81a2.jpg;Kitchen & Dining ; Cookware ; Pots & Pans ; Woks & Kadhais ; Metallino Woks & Kadhais;Non spécifié;Non spécifié;metallino hard anodised lid kadhai 3.5 online metallino hard anodised lid kadhai 3.5 best;train
fc7abdf67b4d7dbf64dffbab7b37599c;Prithish Monster Kids Ceramic Mug;fc7abdf67b4d7dbf64dffbab7b37599c.jpg;Kitchen & Dining ; Coffee Mugs ; Prithish Coffee Mugs;Non spécifié;Non spécifié;Non spécifié;Non spécifié;prithish monster kid ceramic mug rs.175 online prithish monster kid ceramic mug best;train
36b965559aa2b97cb961a603f18a9183;Fogg Dynamic,Magnetic Combo Set;36b965559aa2b97cb961a603f18a9183.jpg;Beauty and Personal Care ; Fragrances ; Deodorants ; Combos ; Fogg Combos;Non spécifié;Non spécifié;magnetic combo set online 360;train
a3dea07b2f7bf48276d32513091be717;BFT 6 W LED Bulb;a3dea07b2f7bf48276d32513091be717.jpg;Kitchen & Dining ; Lighting ; Bulbs ; BFT Bulbs ; BFT 6 W LED Bulb (White);Non spécifié;Non spécifié;led bulb pack bulb led bulb white 350 new technology led lighting led best table lamp light general spread light 360 degree led bulb white general brand model number body design material glass bulb base lighting light color white bulb type led power power consumption box sale package bulb pack;train
ee78c1e94bdc217d1d0eaef5c567417a;Budding Bees Printed Baby Girl's Jumpsuit;ee78c1e94bdc217d1d0eaef5c567417a.jpg;Baby Care ; Infant Wear ; Baby Girls' Clothes ; Dungarees & Jumpsuits ; Jumpsuits ; Budding Bees Jumpsuits ; Budding Bees Printed Baby Girl's Jumpsuit;printed baby girl jumpsuit box jumpsuit jumpsuit detail fabric viscose neck round neck general detail pattern printed ideal baby girl color light blue fabric care wash similar color use detergent color;train
984983d05e18e63d1a314e86cb362ae5;VRCT 196 inch Green Rice Lights;984983d05e18e63d1a314e86cb362ae5.jpg;Home Decor & Festive Needs ; Decorative Lighting & Lamps ; Series Lights ; VRCT Series Lights ; VRCT 196 inch Green Rice Lights (Pack of 1);Non spécifié;Non spécifié;vrct inch green rice light number bulb 250 bulb type led vrct inch green rice light pack general brand vrct multi function model number green bulb type led length inch number bulb 250 color green box sale package rice light adaptor pack;train
f6fbce5fffb82a83d7529815c4be9a72;Denver RO,Spring Combo Set;f6fbce5fffb82a83d7529815c4be9a72.jpg;Beauty and Personal Care ; Fragrances ; Deodorants ; Combos ; Denver Combos;Non spécifié;Non spécifié;denver combo set online 349;train
3bc98543c7dd0d8fce5b8185b4a58c43;Shaun Printed Baby Boy's Yellow, Grey, Black Track Pants;3bc98543c7dd0d8fce5b8185b4a58c43.jpg;Baby Care ; Infant Wear ; Baby Boys' Clothes ; Shorts & Trousers ; Track Pants ; Shaun Track Pants ; Shaun Printed Baby Boy's Yellow, Grey, Black Tra...;printed baby boy yellow grey black track pant yellow grey black cotton printed baby boy yellow grey black track pant track pant detail number content sale package pack fabric cotton pocket side pocket general detail pattern printed ideal baby boy box track pant additional detail style code fabric care gentle machine wash lukewarm water bleach;train
f74476ba64365d97a5be7d375cbf4c7a;Now SP-ETHNIC Analog Watch  - For Boys;f74476ba64365d97a5be7d375cbf4c7a.jpg;Watches ; Wrist Watches ; Now Wrist Watches;Non spécifié;Non spécifié;Non spécifié;Non spécifié;ethnic analog watch boy ethnic analog watch boy ethnic online india great discount;train
f3dec6a97225941bf9c3213e73943bd3;Textile India Paisley Double Quilts & Comforters Green;f3dec6a97225941bf9c3213e73943bd3.jpg;Home Furnishing ; Bed Linen ; Blankets, Quilts & Dohars;Non spécifié;Non spécifié;Non spécifié;Non spécifié;textile india double quilt comforter green;train
a79117ea49a0533f641facdb4c99f502;Kripa's Printed Cushions Cover;a79117ea49a0533f641facdb4c99f502.jpg;Home Furnishing ; Kripa's Home Furnishing ; Kripa's Printed Cushions Cover (Pack of 2, 45 cm...;Non spécifié;Non spécifié;Non spécifié;Non spécifié;printed cushion cover length width printed cushion cover pack grey general brand suitable cushion design code type square material cotton style code pattern printed color grey dimension height inch width inch additional reversible yes box number content sale package pack;train
a554abb9699959ec78425eac2b997c27;NEHP NEH0012 Showpiece  -  22.86 cm;a554abb9699959ec78425eac2b997c27.jpg;Home Decor & Festive Needs ; Showpieces ; NEHP Showpieces;Non spécifié;Non spécifié;Non spécifié;Non spécifié;showpiece rs.699 online showpiece best;train
53c4f1e5cb1767f1a6ba05d32dfaf107;Tenda 3G300M;53c4f1e5cb1767f1a6ba05d32dfaf107.jpg;Computers ; Network Components ; Routers ; Tenda Routers;Non spécifié;Non spécifié;Non spécifié;tenda;train
cabeeb2c7f68a833964bf7329d360886;Foolzy Pack of 24 Lipsticks 84 g;cabeeb2c7f68a833964bf7329d360886.jpg;Beauty and Personal Care ; Makeup ; Lips ; Lipsticks ; Foolzy Lipsticks;Non spécifié;Non spécifié;pack lipstick 1299 lowest;train
